question	"answer""If I ask questions about Jimmy Wales as anonymous"	" can Quora reveal my real identity to him?"""
How do I find out the real identity of anonymous person asking questions in Quora?	"(I think quora shd ban person frm being anonymous....I am already getting bugged up!I feel many people are trying to play with my emotions here.)
Hahahaha. The Original Poster of this question on anonymity is
I think this must be one of the best examples of recursive reasoning one can find on Quora. On second thought, I think even I should perhaps have added this answer Anonymously to add to the fun.
ROFL.
PS: Interestingly this question was originally tagged to topics Love and Dating and Relationships ;)
"	
Quora: How can I know the real name of anonymous question asker?	"Unfortunately, you cannot.
However, there is a method, not infallible, that you can attempt. We used to call it, in the intelligence analysis world, ""Pattern Analysis"".
Everyone tends to use certain words and phrases when they write (or speak, for that matter). Also, when writing people often use certain types of punctuation. I, for example like to use the - to separate and highlight something in the sentence I am writing. So if you study the way something ""Anonymous"" has written, and that question, comment or answer is written in the exact same style that ""Bill Boyd"" or ""Sally Smith"" writes, there is a high probability that they were the Quora poster that actually wrote it.
Some Quora users like myself who try to identify banned Quora users who are back on Quora using fake or false identities often catch them due to ""Pattern Analysis"" and then report them to Quora Moderation.
"	
"What does ""Quora"" mean?"		
How do you toggle Quora email notifications?		
How can I receive on-site notifications but not email notifications from boards I have followed?		
What is your smallest piece of code that can crash the computer?	"On my first computer, an Apple IIe, the following command would crash it:
Technically, the command is to set the width of the text window.
Setting it to zero caused the system to crash
"	
Suppose you are given a complex piece of source code. Can this code be optimised using any known computing model?		
How does the Apollo 11 Guidance Computer source code work?	"How does the Apollo 11 Guidance Computer source code work?
That Git posting is pure gold; I?õ????ve not seen this much code in an electronic format.
The source is assembly code for the AGC (Apollo Guidance Computer). It?õ????s an arcane piece of hardware, and the code is difficult to understand at best. Colossus was the program that got the spacecraft to and from the Moon, and it ran in the Command Module AGC. A separate program, called Luminary, ran in the Lunar Module AGC.
There?õ????s no operating system. It?õ????s just an infinite loop responding to inputs.
Without knowing about the architecture and the systems the AGC is controlling, figuring out that code is difficult. So, if you?õ????re interested in this, I highly recommend Frank O?õ????Brien?õ????s book
The way they handled the real-time aspects might seem a bit odd, but don?õ????t forget that this was a brand new area. The programmers were working all this out from scratch, without the benefit of established techniques and principles. What they accomplished was remarkable.
Fair warning: I used to design computer hardware and real-time software for industrial and military applications. I still do the software design for my own projects, but I?õ????m quite content to use wonderful microcontrollers from outfits such as Atmel. This is something I enjoy, so you might not be as fascinated with it as I am.
"	
Why was Apollo 11 launched in morning?	"Apollo 11 was launched at 9:32 am Eastern Time on July 16, 1969 because this was the time that marked the ?õ????opening?õ???? of the ?õ????lunar launch window?õ???? for Apollo 11 on that day.
The time for the launch was not ?õ????selected?õ???? as such. The time for the mission that was ?õ????selected?õ???? was the time at which the Lunar Module was to land on the moon. The time on July 20 that was targeted for the LM landing on the moon was driven (primarily) by the position of the sun at Apollo Landing Site #2, on the southwestern edge of the Sea of Tranquility on the moon. The landing time was selected so that the sun was at a particular angle relative to the landing site. The sun angle was picked such that the Lunar Module trajectory would descend ?õ????over top of the sun?õ???? such that the crew?õ????s visibility of the terrain features would be satisfactory.
Working backwards from the intended landing time, the schedule for the crew in lunar orbit (which was practiced and was known) would determine the time for the Lunar Orbit Insertion burn to put the spacecraft into orbit around the moon.
Knowing the time for the Lunar Orbit Insertion burn, and working backwards towards the earth, and knowing the intended time of flight from the earth to the moon (about 66 hours for Apollo 11, I think..), the time of the translunar injection burn was known.
Working backwards from the translunar injection burn, and knowing the crew?õ????s schedule in orbit for spacecraft checkout, the time of launch could be determined.
That time was 9:32 am.
Please understand that the ?õ????mission planning?õ???? process for these things was a lot more complicated than I am portraying?õ???? I am simply trying to give you the basic idea.
Thank you very much.
"	
"If Mamata Banerjee gets to rule for an uninterrupted 34 years like the Communists, what would be the situation of West Bengal in 2045?"	"To face this dreaded question I shudder with the first thought; will it be really possible for Mamta Banerjee to continue as C.M. till 2045?
But since the question has been asked in consideration of Didi's rule in 2045 I think West Bengal ( the new name might be Bengal) will face a P.O.K. like situation because the way Didi is allowing Muslims to come from Bangladesh illegally and subsequently being settled, I don't think that the day is not far away for them to create a political uprising of ?õ???? Right of self determination?õ???? with the help of political support from Bangladesh / Pakistan and money from Saudis. This is going to be dangerous for our nation because the unrest will definitely spread to Bihar and creep up to UP where Muslims are facing great difficulties to carry on many many illegal trade.
The other scenario is a bit satirist. The way Didi is implementing the blind vision on all false notes the days are really near when Ma will be cooking all delicious machher jole and kosa mangso,Mati will yield only gold and since Manush wouldn't have any thing to do but to eat, drink ( as I hear that the government will distribute daru of all sorts and there will no dry day ) and raise their knees like a canon and fart.
Now I shall advise the Bengali Babus to rise against the danger and bring saffron government to ride the wave of development and welfare of our citizens.
"	
